"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Курсы","12","Failed тесты (для демонстрации отчета)","0","0","Failed тесты","0"
"0","Аутентификация","0","Общий функционал","3","0","Страница авторизации","0"
"0","Курсы","0","Failed тесты (для демонстрации отчета)","4","11","X-Failed тесты","0"
"3","Курсы","0","Failed тесты (для демонстрации отчета)","0","0","Failed тесты с заведенными багами","12"
"0","Курсы","0","Общий функционал","2","0","Проверки создания","0"
"0","Курсы","0","Общий функционал","3","0","Проверки удаления","0"
"0","Курсы","0","Общий функционал","2","0","Проверки редактирования","0"
"0","Аутентификация","0","Внешний вид","3","0","Страница авторизации","0"
"0","Курсы","0","Внешний вид","11","0","Страница редактора курсов","0"
"0","Дашборды","0","Внешний вид","1","0","Страница Dashboard","0"
"0","Аутентификация","0","Навигация","2","0","Связанные страницы","0"
"0","Аутентификация","0","Внешний вид","3","0","Страница регистрации","0"
"0","Аутентификация","0","Общий функционал","1","0","Страница регистрации","0"
"0","Курсы","0","Внешний вид","3","0","Страница списка курсоа","0"
"0","Аутентификация","0","Общий функционал","1","0","Проверки User Story","0"
"0","Курсы","0","Навигация","3","0","Связанные страницы","0"
"0","Курсы","0","Общий функционал","1","0","Проверки User Story","0"
